id,value
id_0,25.2848
id_1,25.534
id_2,28.7478
id_3,75.3688
id_4,66.2342
id_5,44.9021
id_6,36.657
id_7,10.259
id_8,2.05562
id_9,31.149
id_10,45.2014
id_11,3.70779
id_12,20.5673
id_13,15.0738
id_14,18.451
id_15,29.6126
id_16,28.6325
id_17,82.2188
id_18,63.5615
id_19,30.2475
id_20,22.5433
id_21,29.9859
id_22,23.8527
id_23,12.7668
id_24,12.1908
id_25,48.0025
id_26,28.4548
id_27,3.96428
id_28,2.70043
id_29,6.04653
id_30,14.4445
id_31,9.76268
id_32,18.2964
id_33,22.5695
id_34,44.7709
id_35,52.5485
id_36,52.3556
id_37,0
id_38,7.86216
id_39,30.9235
id_40,42.6913
id_41,8.27592
id_42,14.1324
id_43,25.567
id_44,11.2107
id_45,0
id_46,23.8068
id_47,0.189264
id_48,8.8661
id_49,71.4252
id_50,51.6987
id_51,38.9786
id_52,10.1502
id_53,24.7095
id_54,47.1208
id_55,41.0957
id_56,45.2143
id_57,35.3688
id_58,59.1964
id_59,32.4955
id_60,12.6003
id_61,32.4489
id_62,34.5999
id_63,21.7468
id_64,41.7039
id_65,61.3057
id_66,15.708
id_67,16.19
id_68,21.7764
id_69,24.691
id_70,38.813
id_71,19.07
id_72,27.2267
id_73,25.6219
id_74,28.0908
id_75,35.1061
id_76,16.1579
id_77,17.7662
id_78,20.5733
id_79,39.4107
id_80,14.1644
id_81,19.4754
id_82,24.3319
id_83,19.339
id_84,6.53802
id_85,7.38441
id_86,20.9049
id_87,7.5597
id_88,42.4507
id_89,11.8407
id_90,11.0272
id_91,6.2595
id_92,8.93223
id_93,5.0799
id_94,0
id_95,13.0696
id_96,17.4232
id_97,1.00474
id_98,7.87994
id_99,5.70178
id_100,26.6731
id_101,6.94956
id_102,9.14367
id_103,35.9145
id_104,4.44187
id_105,7.56772
id_106,11.5993
id_107,15.7223
id_108,8.56634
id_109,1.78937
id_110,8.34332
id_111,14.7954
id_112,7.656
id_113,22.7043
id_114,0
id_115,15.9333
id_116,1.7612
id_117,15.8054
id_118,7.9354
id_119,16.0005
id_120,8.95702
id_121,73.8157
id_122,13.4957
id_123,6.36503
id_124,16.4614
id_125,26.6443
id_126,4.33541
id_127,14.0715
id_128,22.1861
id_129,7.01501
id_130,0
id_131,21.7208
id_132,16.2168
id_133,9.39053
id_134,20.0791
id_135,33.0018
id_136,17.1258
id_137,17.8778
id_138,27.6598
id_139,20.9458
id_140,33.3457
id_141,11.5102
id_142,3.39589
id_143,8.13291
id_144,6.55609
id_145,22.0185
id_146,7.94735
id_147,3.50959
id_148,5.71208
id_149,13.8657
id_150,1.28141
id_151,0
id_152,17.2545
id_153,6.20945
id_154,25.948
id_155,11.9006
id_156,18.5947
id_157,0
id_158,2.68753
id_159,6.63041
id_160,22.8928
id_161,12.4154
id_162,7.66394
id_163,27.4019
id_164,15.9197
id_165,21.9672
id_166,20.8959
id_167,12.81
id_168,12.6466
id_169,13.6199
id_170,23.1023
id_171,14.6783
id_172,4.97339
id_173,15.135
id_174,24.7308
id_175,11.6906
id_176,33.4608
id_177,37.2351
id_178,32.2669
id_179,8.31419
id_180,7.54735
id_181,22.49
id_182,29.4851
id_183,20.107
id_184,26.4516
id_185,34.2959
id_186,6.88755
id_187,15.6975
id_188,1.3037
id_189,4.43872
id_190,21.4766
id_191,7.82619
id_192,25.785
id_193,45.8026
id_194,50.5778
id_195,25.0688
id_196,15.4675
id_197,37.6539
id_198,34.7546
id_199,32.8709
id_200,32.7333
id_201,23.0022
id_202,22.2345
id_203,25.3714
id_204,25.5798
id_205,19.0373
id_206,24.1143
id_207,34.7902
id_208,6.95435
id_209,23.9751
id_210,36.4859
id_211,14.6961
id_212,23.1546
id_213,12.4524
id_214,8.55675
id_215,0.935553
id_216,6.20792
id_217,12.4407
id_218,12.5233
id_219,26.2755
id_220,19.8144
id_221,23.4282
id_222,37.3134
id_223,19.1261
id_224,3.7922
id_225,11.1641
id_226,32.7911
id_227,7.4822
id_228,34.7709
id_229,15.714
id_230,13.8891
id_231,41.7486
id_232,26.8453
id_233,55.097
id_234,18.4931
id_235,23.0438
id_236,7.5605
id_237,21.3861
id_238,8.73629
id_239,23.416
