日期,測站,測項,4,5,6,7,8,9
2014/1/1,豐原,AMB_TEMP,12,12,12,12,15,17
2014/1/1,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/1,豐原,CO,0.35,0.3,0.37,0.47,0.78,0.74
2014/1/1,豐原,NMHC,0.11,0.06,0.1,0.13,0.26,0.23
2014/1/1,豐原,NO,1.8,1.5,1.9,2.2,6.6,7.9
2014/1/1,豐原,NO2,6.8,3.8,6.9,7.8,15,21
2014/1/1,豐原,NOx,8.5,5.3,8.8,9.9,22,29
2014/1/1,豐原,O3,24,28,24,22,21,29
2014/1/1,豐原,PM10,25,12,4,2,11,38
2014/1/1,豐原,PM2.5,31,28,25,20,19,30
2014/1/1,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/1,豐原,RH,72,73,74,73,66,56
2014/1/1,豐原,SO2,1.9,1.4,1.5,1.6,5.1,15
2014/1/1,豐原,THC,1.9,1.8,1.9,1.9,2.1,2
2014/1/1,豐原,WD_HR,110,106,101,104,124,46
2014/1/1,豐原,WIND_DIREC,94,116,106,94,232,153
2014/1/1,豐原,WIND_SPEED,1.7,2.5,2.5,2,0.6,0.8
2014/1/1,豐原,WS_HR,0.6,1.9,2,2,0.5,0.3
2014/1/2,豐原,AMB_TEMP,14,15,16,16,17,20
2014/1/2,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/2,豐原,CO,0.24,0.26,0.34,0.56,0.79,1.05
2014/1/2,豐原,NMHC,0.05,0.07,0.09,0.19,0.31,0.5
2014/1/2,豐原,NO,1.2,1.1,1.6,8.4,17,17
2014/1/2,豐原,NO2,3.1,4.3,9.4,19,26,36
2014/1/2,豐原,NOx,4.3,5.5,11,27,43,53
2014/1/2,豐原,O3,34,31,30,18,17,24
2014/1/2,豐原,PM10,18,8,16,24,37,58
2014/1/2,豐原,PM2.5,22,18,13,13,11,22
2014/1/2,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/2,豐原,RH,70,67,59,60,55,50
2014/1/2,豐原,SO2,0.8,0.7,0.8,1.2,3.3,8.3
2014/1/2,豐原,THC,1.8,1.8,1.8,2,2.1,2.3
2014/1/2,豐原,WD_HR,100,64,80,88,50,326
2014/1/2,豐原,WIND_DIREC,87,79,252,90,216,317
2014/1/2,豐原,WIND_SPEED,1.5,1,0.8,4,1,0.6
2014/1/2,豐原,WS_HR,2,0.5,0.8,1.5,0.7,0.2
2014/1/3,豐原,AMB_TEMP,18,18,18,19,19,20
2014/1/3,豐原,CH4,1.8,1.7,1.7,1.7,1.8,1.8
2014/1/3,豐原,CO,0.29,0.27,0.3,0.51,0.89,0.81
2014/1/3,豐原,NMHC,0.16,0.07,0.07,0.15,0.44,0.61
2014/1/3,豐原,NO,0.9,0.8,1.1,5.7,22,26
2014/1/3,豐原,NO2,7.4,6.2,7.7,18,24,27
2014/1/3,豐原,NOx,8.3,7,8.8,24,46,53
2014/1/3,豐原,O3,30,34,33,15,5.2,8.7
2014/1/3,豐原,PM10,30,19,12,10,12,15
2014/1/3,豐原,PM2.5,16,14,15,8,4,9
2014/1/3,豐原,RAINFALL,NR,NR,1.2,1.6,0.8,NR
2014/1/3,豐原,RH,76,76,84,90,91,89
2014/1/3,豐原,SO2,2.3,2,1.6,3.2,2.3,6.6
2014/1/3,豐原,THC,1.9,1.8,1.8,1.9,2.2,2.4
2014/1/3,豐原,WD_HR,93,115,101,98,53,278
2014/1/3,豐原,WIND_DIREC,116,110,77,89,69,66
2014/1/3,豐原,WIND_SPEED,1.3,2.8,1.4,1.3,0.6,1.1
2014/1/3,豐原,WS_HR,1.2,2,1.3,1,0.4,0.4
2014/1/4,豐原,AMB_TEMP,17,16,17,17,18,18
2014/1/4,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/4,豐原,CO,0.32,0.33,0.35,0.41,0.43,0.43
2014/1/4,豐原,NMHC,0.24,0.22,0.09,0.1,0.1,0.09
2014/1/4,豐原,NO,1.3,1.1,1.2,1.3,1.6,1.9
2014/1/4,豐原,NO2,7.5,7.5,7.2,7.5,8,7.1
2014/1/4,豐原,NOx,8.7,8.6,8.4,8.8,9.7,9
2014/1/4,豐原,O3,26,26,33,40,41,47
2014/1/4,豐原,PM10,37,40,52,53,55,53
2014/1/4,豐原,PM2.5,22,24,26,33,48,50
2014/1/4,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/4,豐原,RH,73,75,74,69,66,64
2014/1/4,豐原,SO2,1.9,1.7,1.9,2.3,2.9,3.6
2014/1/4,豐原,THC,2,2,1.9,1.9,1.9,1.9
2014/1/4,豐原,WD_HR,50,23,58,63,78,56
2014/1/4,豐原,WIND_DIREC,34,94,62,60,69,48
2014/1/4,豐原,WIND_SPEED,1.3,1.4,1.8,1.6,2.6,3
2014/1/4,豐原,WS_HR,0.5,0.5,0.9,0.6,1.1,2.3
2014/1/5,豐原,AMB_TEMP,12,12,12,13,14,16
2014/1/5,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/5,豐原,CO,0.54,0.54,0.54,0.52,0.6,0.54
