id,value,value,value,6.2,4000,3500,value,10000¦¸,value,value
id_0,25.4177,25.9321,25.8862,24.9825,25,26,26,26.0177,26.2772,26.2772
id_1,62.2517,65.2603,62.9755,61.6493,62,62,63,62.6953,63.025,63.025
id_2,40.0279,19.5438,15.0514,14.9529,15,16,15,15.6382,15.8873,15.8873
id_3,6.98697,26.6811,25.9942,27.1419,27,26,26,26.3228,26.7638,26.7638
id_4,17.1319,10.7758,10.8733,11.6512,12,10,11,11.5863,11.0112,11.0112
id_5,9.32057,35.8071,36.57,36.4075,36,38,37,36.2749,35.7749,35.7749
id_6,13.1519,38.3304,37.2715,37.197,37,42,38,37.4274,37.2938,37.2938
id_7,13.3518,19.007,17.8432,17.1157,17,18,18,17.8967,17.7793,17.7793
id_8,39.5978,54.6761,48.5773,49.2059,49,47,49,49.146,50.3407,50.3407
id_9,21.2504,37.8583,34.6615,31.5535,32,34,35,35.4101,35.898,35.898
id_10,7.4803,34.786,34.2288,40.3578,40,35,34,34.5285,34.038,34.038
id_11,10.3203,61.4163,62.7326,59.4471,59,60,62,62.093,61.7721,61.7721
id_12,18.3893,31.6332,28.9006,30.756,31,30,30,30.3137,30.1645,30.1645
id_13,59.9532,41.9152,41.9833,43.5383,43,44,42,41.6158,40.7104,40.7104
id_14,14.4094,33.3507,35.4937,33.0146,33,34,35,35.7018,35.6601,35.6601
id_15,13.3139,12.5043,11.1684,13.2667,13,9,11,11.8834,11.6883,11.6883
id_16,12.7432,56.7259,55.1812,50.1173,50,58,55,53.8848,55.3537,55.3537
id_17,28.9105,22.2399,19.3063,19.6799,19,17,19,19.7984,20.7907,20.7907
id_18,26.3511,18.3624,20.7043,22.1207,22,22,20,20.0264,19.1941,19.1941
id_19,15.8635,19.7942,17.1206,18.7049,19,16,18,17.8897,18.1344,18.1344
id_20,10.2723,14.347,11.2523,12.4226,12,9,11,12.3274,12.6914,12.6914
id_21,46.2286,34.8849,37.0273,36.4205,37,41,37,35.6585,36.7419,36.7419
id_22,25.2267,39.0616,38.2458,35.046,35,40,38,36.9157,38.6823,38.6823
id_23,0,12.3474,12.8947,8.52188,8,13,12,12.1537,12.8144,12.8144
id_24,30.7823,53.3003,48.8293,57.0864,57,53,49,48.4517,49.6062,49.6062
id_25,9.4145,48.9287,49.7534,49.412,49,49,49,49.445,49.3807,49.3807
id_26,17.4324,20.5139,18.5505,26.6478,26,18,19,18.5869,18.7572,18.7572
id_27,8.93985,4.99646,3.81277,1.58842,1,3,4,4.59512,4.04404,4.04404
id_28,11.7082,33.524,35.9083,26.0215,25,32,34,33.8899,34.5057,34.5057
id_29,2.39341,37.6111,38.4057,37.333,37,40,38,38.5911,38.5152,38.5152
id_30,27.1743,19.825,20.4769,20.271,20,22,20,20.3563,20.4371,20.4371
id_31,19.1801,10.7979,10.6883,11.9987,12,11,11,11.095,11.1764,11.1764
id_32,12.8237,16.8583,16.5635,15.7412,16,15,17,16.7767,16.9327,16.9327
id_33,22.1273,12.4857,8.72441,6.75564,6,5,8,8.58754,10.3247,10.3247
id_34,14.9009,15.625,17.2068,17.7895,18,17,16,16.5829,16.4412,16.4412
id_35,42.6109,46.1723,43.9306,38.0905,38,44,42,42.8889,44.3574,44.3574
id_36,19.4304,25.2552,20.0161,25.3921,25,30,25,23.1657,23.8501,23.8501
id_37,34.6623,25.3351,24.5464,27.6541,28,26,26,25.3701,24.8939,24.8939
id_38,20.7513,11.5765,12.1027,13.5367,14,10,12,11.808,12.5231,12.5231
id_39,17.6488,65.8657,65.8681,66.117,67,64,66,64.6557,65.1249,65.1249
id_40,27.2567,52.4045,52.7956,51.1268,51,56,52,51.6679,51.9908,51.9908
id_41,25.4079,16.3202,18.4725,18.2038,18,18,18,18.3958,18.0799,18.0799
id_42,8.06755,58.0568,56.9914,53.2725,53,56,57,56.7205,57.3419,57.3419
id_43,18.0823,16.9067,18.0583,17.7686,18,17,17,17.5272,18.0707,18.0707
id_44,72.5266,47.9198,48.0934,46.096,46,47,48,46.2578,47.6531,47.6531
id_45,52.9342,48.1139,47.9576,42.7324,43,47,47,46.3949,47.1266,47.1266
id_46,33.8461,58.3052,59.3264,59.2984,59,59,59,59.3464,59.0882,59.0882
id_47,20.5931,40.5836,43.709,40.4851,41,44,43,42.7991,42.6132,42.6132
id_48,17.3474,53.9256,52.5514,54.3005,54,53,52,51.8825,52.4578,52.4578
id_49,25.9651,50.9515,50.9857,46.5723,47,52,51,50.6513,50.5952,50.5952
id_50,7.5569,33.8652,33.6187,29.2285,29,31,33,33.3804,33.6501,33.6501
id_51,15.4598,17.9951,18.6465,22.0721,22,20,19,18.4634,18.4029,18.4029
id_52,6.41685,40.1602,38.8741,39.2354,39,38,39,39.4742,40.2956,40.2956
id_53,13.2661,20.4685,19.0117,20.3618,20,17,19,19.3952,19.7176,19.7176
id_54,4.75853,36.4911,34.7854,36.0698,36,36,35,34.8489,34.3218,34.3218
id_55,13.3097,40.9352,42.1566,44.0091,44,45,42,42.196,41.4238,41.4238
id_56,12.8485,24.7294,24.3729,27.3155,27,23,25,24.3767,24.7697,24.7697
id_57,13.6016,22.7259,20.9435,19.6295,19,20,21,21.3437,20.4924,20.4924
