id,value
id_0,24.1807
id_1,64.8954
id_2,22.5835
id_3,32.13
id_4,11.2763
id_5,36.4458
id_6,43.217
id_7,16.7411
id_8,49.244
id_9,36.7102
id_10,35.5043
id_11,61.5635
id_12,36.5431
id_13,43.088
id_14,31.5194
id_15,10.3444
id_16,56.1428
id_17,21.0391
id_18,19.1525
id_19,19.5371
id_20,15.0654
id_21,35.635
id_22,40.8243
id_23,11.3602
id_24,51.3862
id_25,49.105
id_26,23.3379
id_27,5.32329
id_28,36.3588
id_29,38.3446
id_30,19.0912
id_31,12.2983
id_32,19.0763
id_33,6.99604
id_34,16.4861
id_35,51.4599
id_36,22.865
id_37,27.7732
id_38,10.8287
id_39,61.8703
id_40,49.4519
id_41,14.3625
id_42,56.5265
id_43,17.4922
id_44,47.7364
id_45,51.2425
id_46,60.0946
id_47,41.055
id_48,54.9516
id_49,45.9353
id_50,27.7126
id_51,21.962
id_52,42.0882
id_53,21.8803
id_54,38.1659
id_55,43.8554
id_56,27.6243
id_57,21.2742
id_58,40.7226
id_59,37.1668
id_60,15.5911
id_61,28.4763
id_62,33.6485
id_63,56.4704
id_64,47.7152
id_65,31.198
id_66,38.8723
id_67,51.6972
id_68,31.8614
id_69,36.2447
id_70,64.2132
id_71,57.1531
id_72,44.3789
id_73,15.3978
id_74,9.97984
id_75,34.3711
id_76,67.7704
id_77,0
id_78,38.4172
id_79,47.791
id_80,7.30266
id_81,23.0168
id_82,6.96205
id_83,31.97
id_84,9.91804
id_85,6.55406
id_86,16.742
id_87,13.4272
id_88,18.586
id_89,21.5358
id_90,36.9186
id_91,14.9568
id_92,9.947
id_93,11.041
id_94,37.3841
id_95,19.1535
id_96,18.2018
id_97,11.4198
id_98,10.4787
id_99,0
id_100,9.22305
id_101,21.8246
id_102,9.05453
id_103,10.739
id_104,9.80149
id_105,39.6022
id_106,23.057
id_107,5.16191
id_108,14.9029
id_109,15.1125
id_110,13.9213
id_111,13.3872
id_112,14.685
id_113,27.3085
id_114,23.3621
id_115,17.9391
id_116,7.35252
id_117,45.5403
id_118,27.7219
id_119,0
id_120,4.61098
id_121,11.8271
id_122,11.7112
id_123,12.643
id_124,6.71095
id_125,25.0384
id_126,24.4686
id_127,11.3772
id_128,19.6611
id_129,16.3342
id_130,5.75522
id_131,36.0452
id_132,12.6992
id_133,15.9029
id_134,29.7161
id_135,23.4168
id_136,6.0992
id_137,17.3583
id_138,79.6458
id_139,60.7489
id_140,26.8366
id_141,16.8715
id_142,25.1947
id_143,5.31199
id_144,11.8862
id_145,9.04207
id_146,18.9108
id_147,7.20348
id_148,15.419
id_149,18.0155
id_150,49.8345
id_151,24.31
id_152,22.6513
id_153,14.4479
id_154,19.4429
id_155,28.0276
id_156,21.0164
id_157,38.6863
id_158,0.395143
id_159,21.9603
id_160,46.9542
id_161,16.5061
id_162,65.8727
id_163,16.7073
id_164,35.0327
id_165,22.4915
id_166,25.1553
id_167,1.05009
id_168,72.2171
id_169,15.8865
id_170,12.8161
id_171,73.6157
id_172,26.4709
id_173,0
id_174,18.6343
id_175,2.208
id_176,7.43861
id_177,13.1908
id_178,16.9696
id_179,23.6537
id_180,44.1297
id_181,36.6869
id_182,26.6033
id_183,11.1979
id_184,8.07275
id_185,42.1837
id_186,39.5208
id_187,39.414
id_188,15.044
id_189,25.9085
id_190,14.4689
id_191,11.9174
id_192,31.9835
id_193,70.7833
id_194,35.2939
id_195,16.4105
id_196,71.5936
id_197,13.8509
id_198,19.1624
id_199,17.8987
id_200,136.669
id_201,23.8506
id_202,62.8133
id_203,2.17422
id_204,59.3057
id_205,39.5154
id_206,17.4337
id_207,11.7872
id_208,67.1891
id_209,14.9358
id_210,30.8759
id_211,68.3037
id_212,18.4475
id_213,106.817
id_214,46.8638
id_215,75.4822
id_216,100.782
id_217,70.557
id_218,31.9238
id_219,15.6908
id_220,29.9131
id_221,57.1402
id_222,29.8773
id_223,44.659
id_224,41.791
id_225,6.44651
id_226,10.478
id_227,91.7905
id_228,28.9856
id_229,3.40071
id_230,34.6842
id_231,14.9607
id_232,23.1716
id_233,13.1753
id_234,7.41387
id_235,29.1018
id_236,13.3794
id_237,6.58259
id_238,23.3068
id_239,11.8074
